,R,CoreCPI,IP,Consumption,Unemp,Credit,Spread,IV_GK,IV_MAR
200501,2.86,0.20,461.214579972452,920.330568649506,5.25842909159692,689.337233861468,1.71,-0.0020969,0
200502,3.03,0.20,462.104353514438,920.771693376947,5.37866328758998,690.447992084822,1.57,0,-0.0070467
200503,3.30,0.35,461.611012602643,920.930984116166,5.21392806841385,691.944666757172,1.86,0.0032258,0.0038629
200504,3.32,0.05,462.005879848184,921.578552021208,5.1515517773928,693.269176427217,2.15,0.0067742,0
200505,3.33,0.15,462.301010411642,921.442203066243,5.12592036767809,694.314172765239,2.12,0.0093548,0.0196867
200506,3.36,0.05,462.497281328427,922.317762077767,5.04161138584007,694.978933865456,1.97,0.0011451,0.013485
200507,3.64,0.15,462.202730305451,923.033905848287,4.95610043364206,696.336026465486,1.72,0.0145001,0
200508,3.87,0.10,462.69316777696,922.58888652229,4.90389173382116,696.926421555934,1.81,-0.0074193,-0.0055312
200509,3.85,0.10,461.611012602643,922.195268730435,5.03687797591261,697.449761992393,1.83,0.0084193,0.0216003
200510,4.18,0.35,462.986279857846,922.463767667701,4.96863354244305,698.807179532051,1.88,0.0190001,0
200511,4.33,0.25,463.860496207433,922.759072538271,5.04181521340752,699.587604037727,1.89,0,-0.0081055
200512,4.35,0.15,464.053732982538,923.148523532529,4.85169632740119,700.821580929577,1.95,-0.0030646,-0.0005858
200601,4.45,0.20,464.822967544854,923.666092704153,4.70262425606135,702.063743603881,1.80,-0.0011289,0.023098
200602,4.68,0.20,464.535197562092,923.874316649237,4.76895400322621,702.96011611998,1.75,0.0241935,0
200603,4.77,0.34,464.535197562092,924.085017818075,4.68925092664426,703.905543424689,1.72,0.003871,0.0502922
200604,4.90,0.24,464.822967544854,924.262361489634,4.71895069624406,705.377585604976,1.64,0.026129,0
200605,5.00,0.29,464.631212931927,924.429725545436,4.62040524528527,707.038420243036,1.65,0.0248387,0.0651162
200606,5.16,0.24,464.918707140487,924.484807323941,4.6255797666398,708.880102227204,1.76,0.0084946,-0.0038328
200607,5.22,0.19,464.535197562092,925.048373627903,4.73982176948942,710.352763350022,1.80,-0.0233333,0
200608,5.08,0.24,465.300751540225,924.71543450989,4.67386432545018,712.18580856442,1.81,-0.0270967,-0.0227027
200609,4.97,0.19,465.300751540225,925.333280938026,4.51464440664108,712.060604081092,1.83,-0.0079031,0.014136
200610,5.01,0.19,464.918707140487,925.76532550268,4.4244644536671,712.667391790978,1.72,-0.0011292,-0.0072336
200611,5.01,0.10,465.014355163082,925.800609467438,4.50900883167329,713.389433927615,1.71,-0.003871,0
200612,4.94,0.14,466.438204561994,926.378634768181,4.42736296257497,714.450188775416,1.60,-0.0032258,0.0457316
200701,5.06,0.24,466.15505194242,926.576561808159,4.64660711487228,715.280121234805,1.50,-0.0019355,0.0031799
200702,5.05,0.26,466.438204561994,926.551014310966,4.52795408640176,716.324984718067,1.54,-0.0048387,0
200703,4.92,0.14,467.282883446191,926.663563563139,4.3978804450804,717.212522303662,1.60,-0.005326,-0.0233131
200704,4.93,0.16,467.934958416234,926.758989277688,4.49371863417194,718.042776912361,1.57,-0.0096838,0
200705,4.91,0.15,467.842064772768,926.906200779219,4.4317809654811,719.490220827035,1.48,0.0037096,0.0395906
200706,4.96,0.16,468.120487226409,926.910915514181,4.56021588985958,720.79043148893,1.65,0.0012903,0.0171214
200707,4.96,0.18,468.120487226409,927.21501735425,4.67090046650202,721.661403428324,2.16,0,0
200708,4.47,0.16,467.749084756772,927.636216751818,4.62654419996203,723.657689552997,2.31,0,0.0582901
200709,4.14,0.21,468.120487226409,927.720431222969,4.67362822167468,726.719041009702,2.27,-0.0736668,-0.1238763
200710,4.10,0.25,467.934958416234,927.798967461193,4.72441458908626,728.568473689578,2.21,-0.0953655,0.0477987
200711,3.50,0.27,468.398136641238,928.008096385056,4.70634120973771,729.8850973123,2.79,0.0290322,0
200712,3.26,0.24,468.582808900555,927.944657037473,4.96693044348289,731.571061722521,2.87,0.0203228,0.0969778
200801,2.71,0.28,468.398136641238,927.927857530219,4.98821910517126,733.256539335408,3.30,-0.0390322,-0.1849399
200802,2.05,0.08,467.749084756772,927.580970976949,4.87917580522346,734.268209723992,3.57,-0.2062905,0
200803,1.54,0.22,467.282883446191,927.830738411599,5.08225693271305,735.724365207205,3.80,0.0338709,0.1980349
200804,1.74,0.07,466.249525260736,927.99317310004,4.96654072017117,737.016136988643,3.29,0.0386291,0.0130809
200805,2.06,0.18,465.681341913993,928.17862324242,5.44059415565478,737.099231639485,3.14,-0.0725,0
200806,2.42,0.23,464.918707140487,927.994105870602,5.55688762450344,737.573185514324,3.47,0.003,0.0259503
200807,2.28,0.25,463.860496207433,927.51069920972,5.78562688953771,738.48586453431,3.71,0.0120001,0
200808,2.18,0.20,462.497281328427,927.49945114297,6.10316798261781,738.835259643874,3.82,-0.026129,0.0140723
200809,1.91,0.15,459.005654817804,926.832622117484,6.14220094455586,740.118852845711,4.82,0.056129,0.1050761
200810,1.42,0.03,458.394654953646,926.678686579453,6.50455848549808,743.550881376878,7.21,0.0474272,-0.0383294
200811,1.07,0.07,455.912624748668,926.371998847942,6.8145810565252,742.789935083711,7.92,-0.0474172,0.0641779
200812,0.49,-0.01,452.504414150881,926.080532338239,7.29753321910058,741.337939834866,7.73,-0.095489,-0.0251588
200901,0.44,0.19,449.200148788245,926.533979019479,7.81920757408728,740.450429049293,6.44,-0.0895209,0.0088741
200902,0.62,0.20,449.088103958596,926.12425899033,8.34616728571614,739.672172219522,6.26,0,0
200903,0.64,0.21,447.278099794235,925.709990437919,8.71065897633862,738.262206389386,6.36,-0.0045161,0.0614497
200904,0.55,0.21,446.590811865458,925.560050338105,8.96582076125015,736.902714711693,5.46,-0.0051508,0.0289525
200905,0.50,0.09,445.550941143368,925.651760159394,9.36948696905271,735.357507243863,4.86,0.0046668,0
200906,0.51,0.09,445.318382899021,925.679447634807,9.50580418314848,733.115853222132,4.23,0,0.0661696
200907,0.48,0.07,446.935046284556,926.012052213821,9.45036310209577,730.241555792408,3.61,0,0
200908,0.46,0.11,448.074010760992,926.907143743994,9.60034217501474,727.84632971323,3.39,-0.0032258,0.0301928
200909,0.40,0.19,449.088103958596,925.980649810803,9.75706475456194,725.84332771327,3.02,-0.0057743,-0.0368859
200910,0.37,0.26,449.088103958596,926.0928918087,9.98283306455808,723.567677629342,2.90,-0.0109999,0
200911,0.31,0.07,450.092016461429,925.934003800809,9.89030270733958,722.064446579189,2.90,-0.008991,-0.019912
200912,0.37,0.10,449.980967033027,926.543443428576,9.86081992802607,720.146166873998,2.45,-0.0035796,-0.0132974
201001,0.35,-0.11,450.976000118343,926.359673827662,9.8029762059889,718.058002595072,2.45,-0.0024195,NaN
201002,0.35,0.04,450.865928560725,926.733488349599,9.83317501008497,716.842580218707,2.48,0,NaN
201003,0.40,0.02,452.178857704904,927.210316935442,9.87437806097925,715.356793355729,2.27,-0.0051613,NaN
201004,0.45,0.02,452.936847257181,927.414112102684,9.9112674781079,713.769170638394,2.16,-0.0058386,NaN
201005,0.37,0.06,454.223038621422,927.66242441022,9.6365134887826,713.02506202536,2.62,-0.0090001,NaN
201006,0.32,0.10,454.223038621422,927.90545379617,9.42219560462452,712.490490254852,2.76,0,NaN
201007,0.29,0.08,454.754107315146,928.179554284769,9.44232258232427,712.39064404192,2.60,0,NaN
201008,0.26,0.07,454.85998344997,928.420402857301,9.50637955427489,712.29069803668,2.75,0,NaN
201009,0.26,0.09,454.965747605783,928.515095438436,9.4684201980841,712.140591481282,2.58,0.0016668,NaN
201010,0.23,0.05,454.965747605783,928.769022640351,9.44836788492206,711.990259267333,2.45,0.0033333,NaN
201011,0.25,0.14,455.071400019203,929.023229905213,9.78491484184915,712.156742786746,2.45,0.0046666,NaN
201012,0.29,0.09,455.597994179732,929.155162740101,9.33810608525871,712.589432864149,2.26,0.0003333,NaN
201101,0.27,0.21,455.702981066016,929.267583389421,9.14310694688216,712.896896931198,2.15,-0.0009677,NaN
201102,0.29,0.18,455.807857845424,929.239950683174,9.02006344067775,713.205016725352,2.04,-0.0040321,NaN
201103,0.26,0.11,456.434819146784,929.584811908078,8.95642082203213,713.786649961194,2.00,0,NaN
201104,0.25,0.12,455.912624748668,929.466313788804,9.08996176966713,714.376767043234,2.01,0,NaN
201105,0.19,0.20,455.912624748668,929.351355919694,9.02729363626294,715.49512379993,2.10,0,NaN
201106,0.18,0.23,456.017282005736,929.58297579916,9.10490002999752,715.877855377087,2.19,-0.0015001,NaN
201107,0.19,0.23,456.538931597625,929.756339323425,8.97852408538176,716.716132608218,2.26,-0.0035,NaN
201108,0.11,0.29,456.954300834494,929.695833825663,8.98673257023933,718.20481143149,2.87,-0.0037096,NaN
201109,0.10,0.11,457.264699428253,929.860762668782,9.04944495267013,718.712036095383,3.16,0.0053763,NaN
201110,0.11,0.17,457.779898919196,930.040956906505,8.82950877170192,719.492472006091,2.85,0.0133333,NaN
201111,0.11,0.17,457.574137529728,929.872663670768,8.63048894425413,720.487765125327,3.04,0.0096667,NaN
201112,0.12,0.22,458.292457704077,929.917508567667,8.50222409818501,721.33411182115,2.92,0.0003333,NaN
201201,0.12,0.21,459.107126160859,930.30289365301,8.2892324832719,722.444745948101,2.80,0,NaN
201202,0.16,0.07,459.511985013459,930.906290489382,8.28403514556704,723.200310098063,2.54,0,NaN
201203,0.19,0.19,459.005654817804,930.775742167969,8.21523887068737,723.615934095384,2.47,0,NaN
201204,0.18,0.19,459.511985013459,930.868231497486,8.18272994920573,724.89947059021,2.56,0,NaN
201205,0.19,0.14,459.107126160859,930.874575668781,8.17480918988028,725.662887135678,2.84,0,NaN
201206,0.19,0.17,459.410923862867,930.770298954295,8.18400469426049,727.028504992264,2.79,0.0036666,NaN
201207,0.19,0.15,459.208494643944,930.979649093968,8.16790148953197,728.147512963002,2.64,NaN,NaN
201208,0.18,0.11,459.107126160859,930.999564363615,8.05812758863553,729.010186829733,2.56,NaN,NaN
201209,0.18,0.18,458.904080405821,931.140668071099,7.80806908997164,729.616917118792,2.44,NaN,NaN
201210,0.18,0.16,458.598736657132,931.133436824881,7.79407794077941,730.653139893951,2.28,NaN,NaN
201211,0.18,0.13,459.309760475382,931.568188745351,7.72830859158738,731.201966651378,2.38,NaN,NaN
201212,0.16,0.17,460.015764416455,931.609580964205,7.90217698614645,732.386354718878,2.27,NaN,NaN
201301,0.15,0.22,459.713801429083,931.992097054492,8.00639432984727,733.100791353842,2.15,NaN,NaN
201302,0.16,0.15,460.116216459055,931.949966314115,7.69418975996703,733.524929255912,2.19,NaN,NaN
201303,0.15,0.10,460.015764416455,931.964310686663,7.54104706299797,734.090040286361,2.17,NaN,NaN
201304,0.12,0.02,459.713801429083,931.957138757591,7.56785976292521,734.588762175451,2.11,NaN,NaN
201305,0.12,0.07,460.015764416455,932.208745005876,7.49279909474334,734.788586911909,2.02,NaN,NaN
201306,0.14,0.15,460.216567696779,932.200696248286,7.54483174851845,735.544300028612,2.20,NaN,NaN
201307,0.12,0.23,459.511985013459,932.325825863126,7.28475118734696,736.183910799275,2.07,NaN,NaN
201308,0.13,0.19,460.316818331742,932.437416577861,7.24848173259214,736.28356076325,2.04,NaN,NaN
201309,0.12,0.16,460.416968565451,932.722522661095,7.23888314374354,736.724129149849,2.11,NaN,NaN
201310,0.12,0.09,460.517018598809,933.002382292119,7.19970518448598,737.330525542289,2.01,NaN,NaN
201311,0.12,0.19,460.517018598809,933.421150417304,6.94747689434193,737.920161702288,1.97,NaN,NaN
201312,0.13,0.17,460.316818331742,933.458250269331,6.7043858179428,738.923653751333,1.81,NaN,NaN
201401,0.12,0.09,459.309760475382,933.140689995563,6.56702198877388,739.712026170649,1.87,NaN,NaN
201402,0.12,0.09,460.216567696779,933.69994542783,6.65603313545532,741.75743963905,1.77,NaN,NaN
201403,0.13,0.19,461.115225766564,934.185974183975,6.65265208808675,742.488101529661,1.72,NaN,NaN
201404,0.11,0.19,461.115225766564,934.35154511286,6.2444889263624,743.507807303558,1.66,NaN,NaN
201405,0.10,0.19,461.313835563727,934.529949490856,6.33269957092572,744.27973044071,1.66,NaN,NaN
201406,0.10,0.13,461.709875685337,934.920626084136,6.07551362494942,745.068403824243,1.63,NaN,NaN
201407,0.11,0.15,462.104353514438,935.117130799138,6.15869800714071,746.104826291163,1.69,NaN,NaN
201408,0.11,0.09,461.512051684126,935.797558646822,6.14808172676616,747.091335702197,1.68,NaN,NaN
201409,0.11,0.16,461.512051684126,935.822575144901,5.93565752371187,747.90455117632,1.84,NaN,NaN
201410,0.10,0.17,461.412992735956,936.436532961502,5.74745711783246,748.195562193084,1.94,NaN,NaN
201411,0.13,0.11,462.104353514438,936.702783145541,5.8085294004882,749.39684844237,2.11,NaN,NaN
201412,0.21,0.05,461.907309115708,936.93250634057,5.57595373947752,750.638846269997,2.20,NaN,NaN
201501,0.20,0.09,461.313835563727,937.137019330252,5.65815449277208,751.650402946777,2.28,NaN,NaN
201502,0.22,0.15,460.517018598809,937.35895347887,5.4895176323383,752.44748760921,2.03,NaN,NaN
201503,0.25,0.24,460.916220725763,937.571920803983,5.43592755501363,753.697708372583,2.14,NaN,NaN
201504,0.23,0.25,460.916220725763,937.808959958688,5.44377944734496,754.395108309194,2.11,NaN,NaN
